Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/19/2022,23-185,BRK,,NOP,L (-22),1,24:47:00,6,7,0.857,0,0,,1,2,0.5,3,7,10,0,1,2,4,3,13,11.5,-15
2,2,10/21/2022,23-187,BRK,,TOR,W (+4),1,33:50:00,8,11,0.727,0,0,,3,8,0.375,7,4,11,0,1,4,0,2,19,21.6,9
3,3,10/24/2022,23-190,BRK,@,MEM,L (-10),1,33:06:00,7,10,0.7,0,0,,2,2,1,2,5,7,0,0,2,0,4,16,14.5,-2
4,4,10/26/2022,23-192,BRK,@,MIL,L (-11),1,23:26,1,4,0.25,0,0,,1,2,0.5,4,4,8,1,0,2,1,3,3,4.1,-10
5,5,10/27/2022,23-193,BRK,,DAL,L (-4),1,28:40:00,3,7,0.429,0,1,0,1,4,0.25,3,3,6,1,0,0,1,1,7,4.4,3
6,6,10/29/2022,23-195,BRK,,IND,L (-9),1,22:05,4,6,0.667,0,0,,0,3,0,2,7,9,0,1,2,0,2,8,9.3,-6
7,7,10/31/2022,23-197,BRK,,IND,W (+7),1,31:02:00,9,11,0.818,0,0,,1,2,0.5,3,6,9,4,1,4,4,4,19,19.4,17
8,8,11/1/2022,23-198,BRK,,CHI,L (-9),1,34:35:00,4,4,1,0,0,,2,4,0.5,0,10,10,2,0,1,3,2,10,9.3,-4
9,9,11/4/2022,23-201,BRK,@,WAS,W (+42),1,28:15:00,9,10,0.9,0,0,,0,0,,2,7,9,1,0,3,0,2,18,20.1,32
10,10,11/5/2022,23-202,BRK,@,CHO,W (+4),1,25:26:00,5,7,0.714,0,0,,1,1,1,3,6,9,3,3,4,3,4,11,15.3,-8
11,11,11/7/2022,23-204,BRK,@,DAL,L (-2),1,31:56:00,5,8,0.625,0,0,,0,0,,7,7,14,1,3,1,2,4,10,14.2,5
12,12,11/9/2022,23-206,BRK,,NYK,W (+27),1,19:31,5,7,0.714,0,0,,2,5,0.4,1,5,6,2,0,1,2,4,12,8.6,14
13,13,11/12/2022,23-209,BRK,@,LAC,W (+15),1,31:46:00,6,9,0.667,0,0,,1,5,0.2,2,12,14,2,1,3,0,1,13,16.6,14
14,14,11/13/2022,23-210,BRK,@,LAL,L (-13),1,15:51,4,4,1,0,0,,0,2,0,2,3,5,0,0,0,1,2,8,6.5,-16
15,15,11/15/2022,23-212,BRK,@,SAC,L (-32),1,17:54,3,5,0.6,0,0,,0,0,,0,1,1,1,0,0,1,3,6,2.5,-30
16,16,11/17/2022,23-214,BRK,@,POR,W (+2),1,25:20:00,5,8,0.625,0,0,,1,2,0.5,1,4,5,2,2,0,1,3,11,10.1,-16
17,,11/20/2022,23-217,BRK,,MEM,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
18,17,11/22/2022,23-219,BRK,@,PHI,L (-9),1,21:16,6,7,0.857,0,0,,0,0,,0,4,4,0,0,3,0,3,12,11.6,1
19,18,11/23/2022,23-220,BRK,@,TOR,W (+14),1,30:16:00,6,7,0.857,0,0,,2,2,1,4,8,12,3,1,4,4,2,14,17.8,24
20,19,11/25/2022,23-222,BRK,@,IND,L (-11),1,28:04:00,6,6,1,0,0,,0,0,,2,9,11,1,0,5,1,5,12,15.5,-21
21,20,11/27/2022,23-224,BRK,,POR,W (+14),1,31:45:00,4,6,0.667,0,0,,4,6,0.667,2,5,7,2,2,1,2,3,12,12.4,12
22,21,11/28/2022,23-225,BRK,,ORL,W (+7),1,36:20:00,7,10,0.7,0,0,,3,5,0.6,5,8,13,1,0,3,1,4,17,18.1,-3
23,22,11/30/2022,23-227,BRK,,WAS,W (+6),1,28:00:00,3,6,0.5,0,0,,1,2,0.5,1,7,8,1,0,2,0,4,7,6.9,5
24,23,12/2/2022,23-229,BRK,,TOR,W (+9),1,31:16:00,7,9,0.778,0,0,,1,2,0.5,3,6,9,1,0,3,0,5,15,15.8,14
25,24,12/4/2022,23-231,BRK,,BOS,L (-11),1,37:57:00,4,5,0.8,0,0,,1,6,0.167,5,9,14,1,1,2,1,2,9,12.6,-12
26,25,12/7/2022,23-234,BRK,,CHO,W (+6),1,28:52:00,6,9,0.667,0,0,,2,6,0.333,1,6,7,1,1,3,2,4,14,11.2,-4
27,,12/9/2022,23-236,BRK,,ATL,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
28,,12/10/2022,23-237,BRK,@,IND,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
29,26,12/12/2022,23-239,BRK,@,WAS,W (+12),1,25:38:00,4,4,1,0,0,,1,2,0.5,2,5,7,1,1,2,0,3,9,12.2,22
30,27,12/16/2022,23-243,BRK,@,TOR,W (+3),1,25:53:00,5,5,1,0,0,,5,8,0.625,3,7,10,0,1,6,1,1,15,20.3,-2
31,28,12/18/2022,23-245,BRK,@,DET,W (+3),1,26:13:00,3,4,0.75,0,0,,0,0,,2,5,7,2,0,3,1,2,6,9,2
32,29,12/21/2022,23-248,BRK,,GSW,W (+30),1,25:30:00,4,6,0.667,0,0,,2,2,1,3,4,7,5,1,2,0,2,10,15.8,31
33,30,12/23/2022,23-250,BRK,,MIL,W (+18),1,29:33:00,9,10,0.9,0,0,,1,2,0.5,2,6,8,5,3,0,0,2,19,24.1,13
34,31,12/26/2022,23-253,BRK,@,CLE,W (+8),1,30:06:00,5,9,0.556,0,0,,0,0,,1,3,4,0,1,2,1,2,10,7.9,-16
35,32,12/28/2022,23-255,BRK,@,ATL,W (+1),1,34:39:00,8,9,0.889,0,0,,1,2,0.5,1,9,10,0,0,6,1,2,17,19.3,5
36,33,12/31/2022,23-258,BRK,@,CHO,W (+17),1,33:07:00,6,7,0.857,0,0,,2,4,0.5,1,5,6,3,1,6,0,3,14,19,8
37,34,1/2/2023,23-260,BRK,,SAS,W (+36),1,20:05,5,8,0.625,0,0,,0,0,,1,4,5,1,0,3,2,1,10,8.7,18
38,35,1/4/2023,23-262,BRK,@,CHI,L (-9),1,33:12:00,5,10,0.5,0,0,,1,2,0.5,3,3,6,2,1,3,1,4,11,10.5,-11
39,36,1/6/2023,23-264,BRK,@,NOP,W (+6),1,31:23:00,4,4,1,0,0,,1,1,1,5,4,9,4,1,5,1,3,9,17.6,15
40,37,1/8/2023,23-266,BRK,@,MIA,W (+1),1,30:52:00,6,8,0.75,0,0,,1,2,0.5,2,9,11,0,0,3,2,3,13,12.4,-3
41,38,1/12/2023,23-270,BRK,,BOS,L (-11),1,32:25:00,4,7,0.571,0,0,,1,2,0.5,1,8,9,1,1,4,3,0,9,9.9,-6
42,39,1/15/2023,23-273,BRK,,OKC,L (-10),1,33:11:00,7,10,0.7,0,0,,3,6,0.5,5,8,13,0,0,4,3,3,17,16.1,-16
43,40,1/17/2023,23-275,BRK,@,SAS,L (-8),1,28:18:00,7,11,0.636,0,0,,1,1,1,3,8,11,4,1,4,3,6,15,15.8,-19
44,41,1/19/2023,23-277,BRK,@,PHO,L (-5),1,35:15:00,9,12,0.75,0,1,0,2,6,0.333,0,11,11,3,1,3,1,5,20,19.1,7
45,42,1/20/2023,23-278,BRK,@,UTA,W (+11),1,37:35:00,8,9,0.889,0,0,,4,8,0.5,1,4,5,1,0,4,1,2,20,18.9,29
46,43,1/22/2023,23-280,BRK,@,GSW,W (+4),1,36:13:00,9,13,0.692,0,0,,6,15,0.4,3,12,15,0,1,3,3,2,24,19.9,23
47,44,1/25/2023,23-283,BRK,@,PHI,L (-4),1,38:03:00,11,12,0.917,0,0,,3,6,0.5,4,7,11,2,0,2,0,5,25,25.5,-2
48,45,1/26/2023,23-284,BRK,,DET,L (-8),1,33:13:00,11,13,0.846,0,0,,5,7,0.714,5,8,13,1,0,2,0,1,27,29.1,4
49,46,1/28/2023,23-286,BRK,,NYK,W (+7),1,34:39:00,6,6,1,0,0,,1,4,0.25,2,10,12,6,0,3,0,2,13,19.9,7
50,47,1/30/2023,23-288,BRK,,LAL,W (+17),1,26:59:00,3,7,0.429,0,0,,0,0,,2,10,12,3,1,1,2,3,6,7.3,9
51,48,2/1/2023,23-290,BRK,@,BOS,L (-43),1,26:05:00,3,5,0.6,0,0,,3,4,0.75,3,3,6,2,1,0,0,2,9,10.9,-27
52,49,2/4/2023,23-293,BRK,,WAS,W (+2),1,37:15:00,4,8,0.5,0,0,,7,8,0.875,6,7,13,5,1,3,1,1,15,22.1,8
53,50,2/6/2023,23-295,BRK,,LAC,L (-8),1,35:41:00,5,8,0.625,0,0,,5,8,0.625,3,13,16,1,2,3,4,4,15,15.4,7
54,51,2/7/2023,23-296,BRK,,PHO,L (-4),1,32:35:00,8,11,0.727,0,0,,1,2,0.5,3,10,13,3,3,0,2,2,17,19.5,6
55,,2/9/2023,23-298,BRK,,CHI,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
56,52,2/11/2023,23-300,BRK,,PHI,L (-3),1,28:52:00,3,6,0.5,0,0,,0,0,,2,3,5,2,0,4,1,4,6,6.9,-1
57,53,2/13/2023,23-302,BRK,@,NYK,L (-18),1,22:59,4,8,0.5,0,0,,3,5,0.6,2,4,6,1,0,1,0,1,11,9.8,-6
58,54,2/15/2023,23-304,BRK,,MIA,W (+11),1,25:16:00,2,4,0.5,0,0,,0,0,,1,8,9,0,0,2,1,5,4,3.5,15
59,55,2/24/2023,23-313,BRK,@,CHI,L (-44),1,22:01,3,7,0.429,0,0,,1,2,0.5,0,6,6,3,2,1,0,0,7,9.5,-23
60,56,2/26/2023,23-315,BRK,@,ATL,L (-2),1,29:59:00,2,4,0.5,0,0,,4,6,0.667,2,9,11,1,4,3,2,5,8,12.1,-4
61,57,2/28/2023,23-317,BRK,,MIL,L (-14),1,30:50:00,4,6,0.667,0,0,,1,2,0.5,1,6,7,4,3,3,1,1,9,15,0
