Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PRA,PR,PA,RA,SB
1,1,10/25/2023,27-001,BOS,@,NYK,W (+4),1,38:08:00,4,11,0.364,0,4,0,3,4,0.75,0,6,6,5,1,0,2,5,11,6.8,8,22,17,16,11,1
2,2,10/27/2023,27-003,BOS,,MIA,W (+8),1,33:37:00,11,22,0.5,3,7,0.429,2,4,0.5,2,4,6,1,2,0,4,1,27,16.1,3,34,33,28,7,2
3,3,10/30/2023,27-006,BOS,@,WAS,W (+19),1,31:32:00,13,24,0.542,8,13,0.615,2,4,0.5,0,6,6,2,3,1,0,3,36,29.3,32,44,42,38,8,4
4,4,11/1/2023,27-008,BOS,,IND,W (+51),1,25:28:00,7,15,0.467,0,1,0,2,2,1,1,6,7,1,0,0,2,3,16,8.3,22,24,23,17,8,0
5,5,11/4/2023,27-011,BOS,@,BRK,W (+10),1,35:22:00,7,22,0.318,2,11,0.182,7,8,0.875,0,5,5,4,0,1,2,4,23,11.4,6,32,28,27,9,1
6,6,11/6/2023,27-013,BOS,@,MIN,L (-5),1,39:29:00,10,21,0.476,3,8,0.375,3,4,0.75,0,7,7,4,1,0,3,5,26,15.8,-16,37,33,30,11,1
7,7,11/8/2023,27-015,BOS,@,PHI,L (-3),1,35:32:00,4,13,0.308,2,7,0.286,1,2,0.5,0,2,2,2,1,1,4,2,11,2,-3,15,13,13,4,2
8,8,11/10/2023,27-017,BOS,,BRK,W (+14),1,29:29:00,10,19,0.526,5,9,0.556,3,5,0.6,0,3,3,5,1,0,3,0,28,20.3,6,36,31,33,8,1
9,9,11/11/2023,27-018,BOS,,TOR,W (+23),1,31:41:00,12,20,0.6,3,8,0.375,2,3,0.667,1,4,5,2,0,0,2,1,29,20.3,9,36,34,31,7,0
10,10,11/13/2023,27-020,BOS,,NYK,W (+16),1,36:28:00,7,18,0.389,2,9,0.222,6,6,1,1,4,5,6,1,1,3,3,22,15.8,17,33,27,28,11,2
12,11,11/17/2023,27-024,BOS,@,TOR,W (+3),1,35:45:00,9,14,0.643,3,5,0.6,2,3,0.667,0,3,3,4,1,1,3,2,23,18,4,30,26,27,7,2
13,12,11/19/2023,27-026,BOS,@,MEM,W (+2),1,33:42:00,5,16,0.313,1,7,0.143,1,2,0.5,0,6,6,3,2,2,2,4,12,6.1,1,21,18,15,9,4
14,13,11/20/2023,27-027,BOS,@,CHO,L (-3),1,34:01:00,5,17,0.294,0,5,0,3,4,0.75,1,3,4,3,0,0,2,5,13,2.4,-23,20,17,16,7,0
15,14,11/22/2023,27-029,BOS,,MIL,W (+3),1,35:13:00,10,16,0.625,3,5,0.6,3,3,1,0,2,2,8,1,0,1,1,26,24.6,-3,36,28,34,10,1
16,15,11/24/2023,27-031,BOS,@,ORL,L (-17),1,38:53:00,6,22,0.273,2,8,0.25,4,7,0.571,0,3,3,2,3,1,3,3,18,5.6,1,23,21,20,5,4
17,16,11/26/2023,27-033,BOS,,ATL,W (+10),1,36:28:00,9,19,0.474,2,7,0.286,1,2,0.5,1,6,7,3,1,0,2,4,21,12.9,5,31,28,24,10,1
